"level","level_name","field_of_study","academic_field","academic_field_imputed"
"","","marketing marketing management,general","marketing","marketing"
"","","wellness counseling certificate","","<NA>"
"","","ba hons fashion,fashion apparel design","","None"
"","","ba liberal arts,liberal arts and sciences liberal studies","","<NA>"
"","","career certificate of marketing","","<NA>"
"","","1st class honour,information system and computing","","<NA>"
"","","2 1,business management","business management","business management"
"","","2 1,french and hispanic studies","","<NA>"
"","","2 1,graphic design and illustration","","<NA>"
"","","2 1,management","","<NA>"
"","","2nd lower hons,management","","<NA>"
"","","a level","","<NA>"
"","","academic qualification,computer science and business administration","computer science","computer science"
"","","acca,accounting","accounting","accounting"
"","","accelerated development program,general management leadership","","<NA>"
"","","accountancy and finance","accounting","accounting"
"","","accounting","accounting","accounting"
"","","accounting and finance","accounting","accounting"
"","","accounting and business management","accounting","accounting"
"","","accounting and finance","accounting","accounting"
"","","accounting and management bsc hons,business and management","accounting","accounting"
"","","accredited editor ae,professionally qualified editor","","<NA>"
"","","acma,management accounting","","<NA>"
"","","acma,management accounting","accounting","accounting"
"diploma","","advance diploma in accounting and business,accounting and business management","accounting","accounting"
"diploma","","advance diploma in computer study,management information systems,general","","<NA>"
"diploma","","advance diploma of multimedia design,multimedia design","","<NA>"
"","","advance management program,leadership","","<NA>"
"","","advanced certificate,practical counselling","","<NA>"
"","","advanced certification program in cyber security iit kanpur,cyber security","","<NA>"
"","","advanced degree in political science,international politics","","<NA>"
"diploma","","advanced diploma of aviation","","<NA>"
"diploma","","advanced diploma of electrical engineering,power distribution","electrical engineering","electrical engineering"
"diploma","","advanced diploma,business administration and management","business management","business management"
"diploma","","advanced diploma,business management","business management","business management"
"diploma","","advanced diploma,electrical,electronic and communications engineering technology technician","","<NA>"
"diploma","","advanced diploma,information systems","","<NA>"
"diploma","","advanced diploma,visual communications graphic design","","<NA>"
"","","advanced international certificate in aml,money laundering","","<NA>"
"","","advanced management program amp 199,advanced management and leadership","","<NA>"
"","","advanced management program,management","","<NA>"
"","","advanced master s degree,strategy and management of international affairs","","<NA>"
"","","advancing next gen leaders program","","<NA>"
"","","aerospace,aeronautical and astronautical space engineering","","<NA>"
"","","agile coaching,scrum","","<NA>"
"","","agricultural engineering","","<NA>"
"","","altmba37","","<NA>"
"","","applied mathematics","applied mathematics","applied mathematics"
"","","architechture","architecture and design","architecture and design"
"","","architecture","architecture and design","architecture and design"
"","","artificial intelligence,marketing marketing management,general","","<NA>"
"","","artificial intelligence business strategies and applications,executive certification","","<NA>"
"","","artificial intelligence implications for business strategy program","","<NA>"
"","","arts and festival management,arts and festival management","","<NA>"
"","","as,paralegal","","<NA>"
"","","asset management","","<NA>"
"","","associate member at cpa australia","","<NA>"
"","","associate of science as,journalism","","<NA>"
"","","associate s degree,business,management,marketing,and related support services","","<NA>"
"","","associate s degree,room division","","<NA>"
"","","associate s degree,tourism and marketing","","<NA>"
"","","assoicate estate planning practitioner,estate planning","","<NA>"
"","","aw 27","","<NA>"
"bachelor","bachelor","bapp sc ce,computer engineering","","<NA>"
"bachelor","bachelor","b communications public relations,marketing","marketing","marketing"
"bachelor","bachelor","bsc,chemistry general","chemistry","chemistry"
"bachelor","bachelor","bsoc sci,communications and new media","","<NA>"
"bachelor","bachelor","b tech,telecommunication","","<NA>"
"bachelor","bachelor","b,hotelmanagement,business administration","","<NA>"
"bachelor","bachelor","beng,electrical engineering","electrical engineering","electrical engineering"
"bachelor","bachelor","bsc,computer science networking techniques and management of information systems","computer science","computer science"
"bachelor","bachelor","bsc hbp architecture,architecture","","<NA>"
"bachelor","bachelor","ba 2nd upper class hons,history","history","history"
"bachelor","bachelor","ba hons m eng,electrical and electronic engineering","","<NA>"
"bachelor","bachelor","ba hons,business administration with major in economics and international finance","","<NA>"
"bachelor","bachelor","ba hons 2nd upper,english literature","english literature","english literature"
"bachelor","bachelor","ba hons in english language and literature,english language and literature,general","","<NA>"
"bachelor","bachelor","ba journalism and mass communications,journalism and mass communications","","<NA>"
"bachelor","bachelor","ba,business economics","","<NA>"
"bachelor","bachelor","ba,computer science","computer science","computer science"
"bachelor","bachelor","ba,foreign trade","","<NA>"
"bachelor","bachelor","ba,japanese","","<NA>"
"bachelor","bachelor","ba,psychology,journalism","","<NA>"
"bachelor","bachelor","ba policy management","","<NA>"
"bachelor","bachelor","b bus,business information systems","","<NA>"
"bachelor","bachelor","b com,banking and finance","","<NA>"
"bachelor","bachelor","b comp,information systems","","<NA>"
"bachelor","bachelor","be,computer science","computer science","computer science"
"bachelor","bachelor","be,computer technology","","<NA>"
"bachelor","bachelor","be cs,computer science","computer science","computer science"
"bachelor","bachelor","be,electronics","","<NA>"
"bachelor","bachelor","beng hons,electrical and electronic engineering","","<NA>"
"bachelor","bachelor","beng,computer engineering with a minor in business","","<NA>"
"bachelor","bachelor","beng,electrical engineering","electrical engineering","electrical engineering"
"bachelor","bachelor","bs,electrical engineering","electrical engineering","electrical engineering"
"bachelor","bachelor","bs,finance and financial management services","","<NA>"
"bachelor","bachelor","bs","business administration","business administration"
"bachelor","bachelor","bs and mba,economics and organizational leadership","","<NA>"
"bachelor","bachelor","bs business administration,leed s school of business","","<NA>"
"bachelor","bachelor","bs marketing,statistics,business administration","","<NA>"
"bachelor","bachelor","bs,management","","<NA>"
"bachelor","bachelor","bse,computer science in engineering","computer science","computer science"
"bachelor","bachelor","bsc real estate,real estate","","<NA>"
"bachelor","bachelor","bsc,biochemistry with biotechnology and molecular genetics","","<NA>"
"bachelor","bachelor","bsc,mechanical engineering,industrial operational management and business administration","","<NA>"
"bachelor","bachelor","bsc statistics,economics,math s,english and french","","<NA>"
"bachelor","bachelor hons","bsc hons of food science and technology","","<NA>"
"bachelor","bachelor hons","bsc hons,international hospitality management","","<NA>"
"bachelor","bachelor hons","bsc hons,international management","","<NA>"
"bachelor","bachelor","bsc,computer science","computer science","computer science"
"bachelor","bachelor","bsc e,electrical engineering","electrical engineering","electrical engineering"
"bachelor","bachelor","b tech,engineering","","<NA>"
"bachelor","bachelor","b tech,human resources management personnel administration,general","human resources","human resources"
"bachelor","bachelor","ba","","<NA>"
"bachelor","bachelor hons","ba hons,graphic design","","<NA>"
"bachelor","bachelor hons","ba hons accounting and finance,accounting and finance","","<NA>"
"bachelor","bachelor hons","ba hons fashion pattern cutting,fashion apparel design","","<NA>"
"bachelor","bachelor hons","ba hons history","","<NA>"
"bachelor","bachelor hons","ba hons of business and human resource management,hrm","","<NA>"
"bachelor","bachelor hons","ba hons,arabic and middle east studies","languages and literature","languages and literature"
"bachelor","bachelor hons","ba hons,business studies","","<NA>"
"bachelor","bachelor hons","ba hons,business,major in marketing","","<NA>"
"bachelor","bachelor hons","ba hons,communication and media","","<NA>"
"bachelor","bachelor hons","ba hons,european business","","<NA>"
"bachelor","bachelor hons","ba hons,first class","","<NA>"
"bachelor","bachelor hons","ba hons,graphic communication","","<NA>"
"bachelor","bachelor hons","ba hons,human geography","human geography","human geography"
"bachelor","bachelor hons","ba hons,media studies","media studies","media studies"
"bachelor","bachelor hons","ba hons,politics and law","","<NA>"
"bachelor","bachelor hons","ba hons,psychology with health studies","","<NA>"
"bachelor","bachelor hons","ba business organisation hons,business administration and management,general","","<NA>"
"bachelor","bachelor","ba european languages,spanish language and literature","","<NA>"
"bachelor","bachelor","ba hons and btec diploma holder,london university of the arts london institute","","<NA>"
"bachelor","bachelor hons","ba hons,business and law","","<NA>"
"bachelor","bachelor hons","ba hons,graphic design","","<NA>"
"bachelor","bachelor hons","ba hons,linguistics","","<NA>"
"bachelor","bachelor","ba in marketing and the media,marketing marketing management,general","","<NA>"
"bachelor","bachelor","ba media communication,currently completing","","<NA>"
"bachelor","bachelor","ba philosophy","","<NA>"
"bachelor","bachelor","ba,asian studies","asian studies","asian studies"
"bachelor","bachelor","ba,business economics","","<NA>"
"bachelor","bachelor","ba,communication arts,english","","<NA>"
"bachelor","bachelor","ba,communications,pr","","<NA>"
"bachelor","bachelor","ba,economics","economics","economics"
"bachelor","bachelor","ba,economics and commerce","economics","economics"
"bachelor","bachelor","ba,economics,political science,psychology","psychology","psychology"
"bachelor","bachelor","ba,english","languages and literature","languages and literature"
"bachelor","bachelor","ba,english and history","languages and literature","languages and literature"
"bachelor","bachelor","ba,english and world literature music","languages and literature","languages and literature"
"bachelor","bachelor","ba,english language and literature letters","languages and literature","languages and literature"
"bachelor","bachelor","ba,english literature journalism and mass media","journalism","journalism"
"bachelor","bachelor","ba,international relations","international relations","international relations"
"bachelor","bachelor","ba,international studies european studies","","<NA>"
"bachelor","bachelor","ba,political science","political science","political science"
"bachelor","bachelor","ba,social sciences business and management","","<NA>"
"bachelor","bachelor hons","ba hons in business administration","","<NA>"
"bachelor","bachelor hons","ba hons international business","","<NA>"
"bachelor","bachelor hons","ba hons product design,industrial and product design","","<NA>"
"bachelor","bachelor hons","ba hons,advertising design","","<NA>"
"bachelor","bachelor","bachelor 2nd upper,communication studies","","<NA>"
"bachelor","bachelor","bachelor hons in business management with communications","business management","business management"
"bachelor","bachelor","bachelor business administration,human resource management","","<NA>"
"bachelor","bachelor","bachelor businessit and management","","<NA>"
"bachelor","bachelor","bachelor mass communication","","<NA>"
"bachelor","bachelor","bachelor,business management and accountancy","business management","business management"
"bachelor","bachelor","bachelor,business studies marketing","","<NA>"
"bachelor","bachelor","bachelor,public relations image management","","<NA>"
"bachelor","bachelor","bachelor graduate diploma,computer science engineering","computer science","computer science"
"bachelor","bachelor","bachelor arts and science,specialisation in communications studies,television production minor in political science","performing arts","performing arts"
"bachelor","bachelor","bachelor business administration b ba,international marketing tvu","","<NA>"
"bachelor","bachelor","bachelor business adminstration,business administration","business administration","business administration"
"bachelor","bachelor","bachelor business management,operations management analytics and strategic management","business management","business management"
"bachelor","bachelor","bachelor communication and media studies","media studies","media studies"
"bachelor","bachelor","bachelor film and tv,bachelor film and tv","","<NA>"
"bachelor","bachelor","bachelor graphic design,graphic design","","<NA>"
"bachelor","bachelor","bachelor mechanical engineering","","<NA>"
"bachelor","bachelor","bachelor occupational safety and health with honor,safety","","<NA>"
"bachelor","bachelor","bachelor science hons management,marketing marketing management,general","","<NA>"
"bachelor","bachelor","bachelor technology,information technology","","<NA>"
"bachelor","bachelor","bachelor accountancy and business marketing","accounting","accounting"
"bachelor","bachelor","bachelor accountancy with hons,accountancy","accounting","accounting"
"bachelor","bachelor","bachelor accountancy,2nd major in analytics accounting","accounting","accounting"
"bachelor","bachelor","bachelor accountancy,accounting","accounting","accounting"
"bachelor","bachelor","bachelor accountancy,accounting and finance","accounting","accounting"
"bachelor","bachelor","bachelor agriculture,agronomy","","<NA>"
"bachelor","bachelor","bachelor applied engineering,civil engineering","civil engineering","civil engineering"
"bachelor","bachelor","bachelor applied science basc,computer and information sciences and support services","","<NA>"
"bachelor","bachelor","bachelor applied science ba sc,business administration and management,general","","<NA>"
"bachelor","bachelor","bachelor applied science ba sc,business,economics and social sciences","","<NA>"
"bachelor","bachelor","bachelor applied science ba sc,communication studies","","<NA>"
"bachelor","bachelor","bachelor applied science ba sc,computer engineering","","<NA>"
"bachelor","bachelor","bachelor applied science ba sc,electrical and electronics engineering","","<NA>"
"bachelor","bachelor","bachelor applied science basc,business,management,marketing,and related support services","","<NA>"
"bachelor","bachelor","bachelor arts ba","","<NA>"
"bachelor","bachelor","bachelor arts ba hons,political science","political science","political science"
"bachelor","bachelor","bachelor arts ba hons,international global studies","","<NA>"
"bachelor","bachelor","bachelor arts ba,art history,french","","<NA>"
"bachelor","bachelor","bachelor arts ba,business administration and management,general","","<NA>"
"bachelor","bachelor","bachelor arts ba,business administration,management and operations","","<NA>"
"bachelor","bachelor","bachelor arts ba,business management","business management","business management"
"bachelor","bachelor","bachelor arts ba,business with human resource management","","<NA>"
"bachelor","bachelor","bachelor arts ba,communication and media studies","media studies","media studies"
"bachelor","bachelor","bachelor arts ba,communication and media,journalism","media studies","media studies"
"bachelor","bachelor","bachelor arts ba,communications and new media","media studies","media studies"
"bachelor","bachelor","bachelor arts ba,design and visual communications,general","languages and literature","languages and literature"
"bachelor","bachelor","bachelor arts ba,english language","languages and literature","languages and literature"
"bachelor","bachelor","bachelor arts ba,english language and literature,general","languages and literature","languages and literature"
"bachelor","bachelor","bachelor arts ba,english language and literature letters with an emphasis in creative writing","languages and literature","languages and literature"
"bachelor","bachelor","bachelor arts ba,history minor in communication studies","","<NA>"
"bachelor","bachelor","bachelor arts ba,international business","","<NA>"
"bachelor","bachelor","bachelor arts ba,international relations and affairs","","<NA>"
"bachelor","bachelor","bachelor arts ba,journalism","","<NA>"
"bachelor","bachelor","bachelor arts ba,language and communication","languages and literature","languages and literature"
"bachelor","bachelor","bachelor arts ba,linguistics","languages and literature","languages and literature"
"bachelor","bachelor","bachelor arts ba,mass communication media studies","media studies","media studies"
"bachelor","bachelor","bachelor arts ba,oriental languages and cultures","","<NA>"
"bachelor","bachelor","bachelor arts ba,philosophy","philosophy","philosophy"
"bachelor","bachelor","bachelor arts ba,philosophy and politics","philosophy","philosophy"
"bachelor","bachelor","bachelor arts ba,public relations and marketing","marketing","marketing"
"bachelor","bachelor","bachelor arts ba,sociology","sociology","sociology"
"bachelor","bachelor","bachelor arts ba,theatre theater","","<NA>"
"bachelor","bachelor","bachelor arts ba,tourism and events management hospitality and tourism management","","<NA>"
"bachelor","bachelor","bachelor arts ba,translation","","<NA>"
"bachelor","bachelor","bachelor arts ba hons,business with tourism","","<NA>"
"bachelor","bachelor","bachelor arts ba","","<NA>"
"bachelor","bachelor","bachelor arts ba hons,business and management","business management","business management"
"bachelor","bachelor","bachelor arts ba in design communication,graphic design","","<NA>"
"bachelor","bachelor","bachelor arts ba,advertising","","<NA>"
"bachelor","bachelor","bachelor arts ba,advertising and marketing","","<NA>"
"bachelor","bachelor","bachelor arts ba,arts,entertainment,and media management","","<NA>"
"bachelor","bachelor","bachelor arts ba,behavioral studies","","<NA>"
"bachelor","bachelor","bachelor arts ba,business and human resources management","human resources","human resources"
"bachelor","bachelor","bachelor arts ba,business studies","","<NA>"
"bachelor","bachelor","bachelor arts ba,communication and media studies","media studies","media studies"
"bachelor","bachelor","bachelor arts ba,communications","","<NA>"
"bachelor","bachelor","bachelor arts ba,computer science","computer science","computer science"
"bachelor","bachelor","bachelor arts ba,creative writing and english double major with an environmental studies minor","","<NA>"
"bachelor","bachelor","bachelor arts ba,double major in communication and media studies,economics","media studies","media studies"
"bachelor","bachelor","bachelor arts ba,economics","economics","economics"
"bachelor","bachelor","bachelor arts ba,economics,chinese studies,philiosophy","","<NA>"
"bachelor","bachelor","bachelor arts ba,economics,sociology","sociology","sociology"
"bachelor","bachelor","bachelor arts ba,english language and literature,general","","<NA>"
"bachelor","bachelor","bachelor arts ba,english literature british and commonwealth","english literature","english literature"
"bachelor","bachelor","bachelor arts ba,english literature philosophy","","<NA>"
"bachelor","bachelor","bachelor arts ba,finance","finance","finance"
"bachelor","bachelor","bachelor arts ba,french and german","","<NA>"
"bachelor","bachelor","bachelor arts ba,international studies","","<NA>"
"bachelor","bachelor","bachelor arts ba,international studies economics","","<NA>"
"bachelor","bachelor","bachelor arts ba,law and management science","law","law"
"bachelor","bachelor","bachelor arts ba,major in english,minor in linguistics","","<NA>"
"bachelor","bachelor","bachelor arts ba,marketing","marketing","marketing"
"bachelor","bachelor","bachelor arts ba,mass communication media studies","media studies","media studies"
"bachelor","bachelor","bachelor arts ba,philosophy and english","","<NA>"
"bachelor","bachelor","bachelor arts ba,psychology","psychology","psychology"
"bachelor","bachelor","bachelor arts ba,visual communications design","","<NA>"
"bachelor","bachelor","bachelor arts ba hons,psychology","psychology","psychology"
"bachelor","bachelor","bachelor arts ba,anthropology","anthropology","anthropology"
"bachelor","bachelor","bachelor arts ba,contemporary music studies","","<NA>"
"bachelor","bachelor","bachelor arts ba,economics","economics","economics"
"bachelor","bachelor","bachelor arts ba,english language and literature,general","","<NA>"
"bachelor","bachelor","bachelor arts ba,fiction writing,creative nonfiction,research,photography","","<NA>"
"bachelor","bachelor","bachelor arts ba,graphic communications","","<NA>"
"bachelor","bachelor","bachelor arts ba,ho chi minh city university of technology school of industrial management","","<NA>"
"bachelor","bachelor","bachelor arts ba,politics and international relations","","<NA>"
"bachelor","bachelor","bachelor arts ba,psychology,communications and new media","","<NA>"
"bachelor","bachelor","bachelor arts ba,sociology","sociology","sociology"
"bachelor","bachelor","bachelor arts honors in industrial design,industrial design","","<NA>"
"bachelor","bachelor","bachelor arts hons,arts and social sciences","","<NA>"
"bachelor","bachelor","bachelor arts hons,second upper,english language","","<NA>"
"bachelor","bachelor","bachelor arts hons,english language and literature,general","","<NA>"
"bachelor","bachelor","bachelor arts hons,journalism and mass communication","","<NA>"
"bachelor","bachelor","bachelor arts and bachelor education,drama and english","","<NA>"
"bachelor","bachelor","bachelor arts and social sciences,political science,philosophy,english literature","english literature","english literature"
"bachelor","bachelor","bachelor arts and social sciences ba hons,psychology","psychology","psychology"
"bachelor","bachelor","bachelor arts and social sciences,communications and new media","","<NA>"
"bachelor","bachelor","bachelor arts and social sciences,english language","","<NA>"
"bachelor","bachelor","bachelor arts in psychology with business","","<NA>"
"bachelor","bachelor","bachelor arts with hons,international marketing","","<NA>"
"bachelor","bachelor","bachelor arts with merit,political science","political science","political science"
"bachelor","bachelor","bachelor arts,anthropology and psychology","","<NA>"
"bachelor","bachelor","bachelor arts,communication and media management","","<NA>"
"bachelor","bachelor","bachelor arts,cultural studies","","<NA>"
"bachelor","bachelor","bachelor arts,economics","economics","economics"
"bachelor","bachelor","bachelor arts,economics and political science","","<NA>"
"bachelor","bachelor","bachelor arts,english and journalism","","<NA>"
"bachelor","bachelor","bachelor arts,mass communications","","<NA>"
"bachelor","bachelor","bachelor arts,political science","political science","political science"
"bachelor","bachelor","bachelor business hons","","<NA>"
"bachelor","bachelor","bachelor business hons,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business hons,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business marketing,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business admin finance,business administration and management,general","","<NA>"
"bachelor","bachelor","bachelor business administration ","","<NA>"
"bachelor","bachelor","bachelor business administration  hons,business administration and management,general","","<NA>"
"bachelor","bachelor","bachelor business administration  hons,business administration","","<NA>"
"bachelor","bachelor","bachelor business administration  marketing,with a second major in communications and new media","","<NA>"
"bachelor","bachelor","bachelor business administration ,accounting and business management","","<NA>"
"bachelor","bachelor","bachelor business administration ,accounting,operations management","operations management","operations management"
"bachelor","bachelor","bachelor business administration ,banking and finance","","<NA>"
"bachelor","bachelor","bachelor business administration ,business administration","","<NA>"
"bachelor","bachelor","bachelor business administration ,business administration and management,general","","<NA>"
"bachelor","bachelor","bachelor business administration ,business,management,marketing,and related support services","","<NA>"
"bachelor","bachelor","bachelor business administration ,business corporate communications","","<NA>"
"bachelor","bachelor","bachelor business administration ,finance and financial management services","","<NA>"
"bachelor","bachelor","bachelor business administration ,finance,general","","<NA>"
"bachelor","bachelor","bachelor business administration ,first class hons","","<NA>"
"bachelor","bachelor","bachelor business administration ,global business and marketing","","<NA>"
"bachelor","bachelor","bachelor business administration ,information management internet service and social networks","information management","information management"
"bachelor","bachelor","bachelor business administration ,international business and chinese enterprise","","<NA>"
"bachelor","bachelor","bachelor business administration ,international business management","","<NA>"
"bachelor","bachelor","bachelor business administration ,management information systems,general","","<NA>"
"bachelor","bachelor","bachelor business administration ,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business administration ,marketing and information system","","<NA>"
"bachelor","bachelor","bachelor business administration ,marketing communications","","<NA>"
"bachelor","bachelor","bachelor business administration finance","","<NA>"
"bachelor","bachelor","bachelor business administration b ba 2007,2010 international business and marketing","","<NA>"
"bachelor","bachelor","bachelor business administration b ba magna cum laude,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business administration b ba with merit,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business administration b ba,business administration","business administration","business administration"
"bachelor","bachelor","bachelor business administration b ba,business administration and management,general","business administration","business administration"
"bachelor","bachelor","bachelor business administration b ba,business economics international business","business administration","business administration"
"bachelor","bachelor","bachelor business administration b ba,business operations management","business administration","business administration"
"bachelor","bachelor","bachelor business administration b ba,business,management and marketing","marketing","marketing"
"bachelor","bachelor","bachelor business administration b ba,business,management,marketing,and related support services","business","business"
"bachelor","bachelor","bachelor business administration b ba,fiance and banking","","<NA>"
"bachelor","bachelor","bachelor business administration b ba,finance,general","","<NA>"
"bachelor","bachelor","bachelor business administration b ba,international business trade commerce","","<NA>"
"bachelor","bachelor","bachelor business administration b ba,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business administration b ba,marketing and human resource management","human resources","human resources"
"bachelor","bachelor","bachelor business administration b ba,marketing and technopreneurship","marketing","marketing"
"bachelor","bachelor","bachelor business administration b ba,marketing major","marketing","marketing"
"bachelor","bachelor","bachelor business administration b ba,marketing marketing management,general","marketing","marketing"
"bachelor","bachelor","bachelor business administration ","","<NA>"
"bachelor","bachelor","bachelor business administration  first class hons,tourism and hospitality management,human resources consulting","human resources","human resources"
"bachelor","bachelor","bachelor business administration  ibgm,global business and finance","","<NA>"
"bachelor","bachelor","bachelor business administration ,accounting","accounting","accounting"
"bachelor","bachelor","bachelor business administration ,accounting and finance","","<NA>"
"bachelor","bachelor","bachelor business administration ,business","business","business"
"bachelor","bachelor","bachelor business administration ,business administration and management,general","","<NA>"
"bachelor","bachelor","bachelor business administration ,business managerial economics","","<NA>"
"bachelor","bachelor","bachelor business administration ,human resources development","human resources","human resources"
"bachelor","bachelor","bachelor business administration ,human resources management and services","human resources","human resources"
"bachelor","bachelor","bachelor business administration ,international business and global management","","<NA>"
"bachelor","bachelor","bachelor business administration ,international business,marketing,management","","<NA>"
"bachelor","bachelor","bachelor business administration ,marketing","marketing","marketing"
"bachelor","bachelor","bachelor business administration ,marketing marketing management,general","","<NA>"
"bachelor","bachelor","bachelor business administration ,professional accounting organizational management","","<NA>"
"bachelor","bachelor","bachelor business administration honors","","<NA>"
"bachelor","bachelor","bachelor business administration honors","business","business"
"bachelor","bachelor","bachelor business administration hons,accountancy and finance","","<NA>"
"bachelor","bachelor","bachelor business administration hons,business,major in marketing","","<NA>"
"bachelor","bachelor","bachelor business administration hons,operations and supply chain management,and management and human capital","","<NA>"
"bachelor","bachelor","bachelor business administration and analytics ,business,management,analytics,statistics","","<NA>"
"bachelor","bachelor","bachelor business administration,marketing and management","","<NA>"
"bachelor","bachelor","bachelor business and commerce,accounting and finance","","<NA>"
"bachelor","bachelor","bachelor business and commerce,marketing banking and finance","","<NA>"
"bachelor","bachelor","bachelor business information systems bachelor business,finance,general","","<NA>"
"bachelor","bachelor","bachelor business management","business management","business management"
"bachelor","bachelor","bachelor business management bbm,finance","business management","business management"
"bachelor","bachelor","bachelor business management bbm,marketing","business management","business management"
"bachelor","bachelor","bachelor business management,business administration and management,general","business management","business management"
"bachelor","bachelor","bachelor business management bbm,finance","finance","finance"
"bachelor","bachelor","bachelor business management bbm,finance major","business","business"
"bachelor","bachelor","bachelor business management bbm,marketing and finance","business management","business management"
"bachelor","bachelor","bachelor business management hons,marketing and corporate communications","business","business"
"bachelor","bachelor","bachelor business management hons,human resource,management and marketing","business management","business management"
"bachelor","bachelor","bachelor business management,double majors in finance and corporate communications","business management","business management"
"bachelor","bachelor","bachelor business management,investment finance and strategic management,cum laude","business management","business management"
"bachelor","bachelor","bachelor business management,marketing","business management","business management"
"bachelor","bachelor","bachelor business management,marketing and corporate communications","business management","business management"
"bachelor","bachelor","bachelor business management,marketing and operations management","business management","business management"
"bachelor","bachelor","bachelor business management,marketing corporate communication","business management","business management"
"bachelor","bachelor","bachelor business management,organisational behaviour and human resources","human resources","human resources"
"bachelor","bachelor","bachelor business managment,international business","","<NA>"
"bachelor","bachelor","bachelor business studies,management","","<NA>"
